000, 4'h5
0010, 6'h03
0011, 7'h2B
0012, 7'h6B
0013, 9'h11F
0014, 9'h09F
0015, 12'h8FF
0016, 12'h4FF
001X, 12'hCFF
002, 5'h0D
003, 7'h33
004, 7'h73
005, 9'h1EF
006, 10'h15F
00X, 10'h35F
0100, 6'h23
0101, 7'h1B
0102, 7'h5B
0103, 9'h19F
0104, 9'h05F
0105, 12'h2FF
0106, 12'hAFF
010X, 12'h6FF
0110, 7'h3B
0111, 8'hF7
0112, 8'h0F
0113, 10'h13F
0114, 10'h33F
0115, 12'hEFF
0116, 13'h1DFF
011X, 13'h03FF
0120, 7'h7B
0121, 8'h8F
0122, 8'h4F
0123, 10'h0BF
0124, 10'h2BF
0125, 12'h1FF
0126, 13'h13FF
012X, 13'h0BFF
013, 8'hE7
014, 8'h17
015, 10'h0DF
016, 10'h2DF
01X, 11'h17F
020, 5'h1D
0210, 7'h07
0211, 8'hCF
0212, 8'h2F
0213, 10'h1BF
0214, 10'h3BF
0215, 12'h9FF
0216, 13'h1BFF
021X, 13'h07FF
0220, 7'h47
0221, 8'hAF
0222, 8'h6F
0223, 10'h07F
0224, 10'h27F
0225, 13'h17FF
0226, 13'h0FFF
022X, 13'h1FFF
023, 8'h97
024, 8'h57
025, 10'h1DF
026, 11'h57F
02X, 11'h37F
030, 7'h0B
031, 8'hD7
032, 8'h37
033, 9'h01F
034, 10'h3DF
035, 12'h77F
036, 12'hF7F
03X, 13'h05FF
040, 7'h4B
041, 8'hB7
042, 8'h77
043, 10'h03F
044, 10'h23F
045, 12'h0FF
046, 13'h15FF
04X, 13'h0DFF
05, 8'hA7
06, 8'h67
0X, 9'h0EF
1, 2'h0
2, 2'h2
3, 4'h1
4, 4'h9
5, 7'h13
6, 7'h53
X, 8'h27
