<root>, 3'h0
0, 3'h4
00, 3'h2
000, 3'h6
0000, 4'h1
00000, 4'h9
000000, 4'h5
0000000, 4'hD
00000000, 4'h3
000000000, 5'h0B
0000000000, 5'h1B
00000000001, 9'h0FF
0000000001, 8'h3F
00000000010, 9'h1FF
000000001, 8'h1F
0000000010, 8'hBF
00000000100, 8'h7F
000000002, 8'h9F
00000002, 8'h6F
000000020, 8'h5F
0000002, 8'hAF
00000020, 8'hEF
000000200, 8'hDF
00001, 7'h37
0001, 7'h17
00010, 7'h77
0002, 8'h4F
001, 7'h47
0010, 7'h57
00100, 7'h0F
002, 7'h27
0020, 8'hCF
02, 7'h07
020, 7'h67
0200, 8'h2F
