<root>, 3'h0
0, 3'h4
00, 3'h2
000, 3'h6
0000, 3'h1
00000, 3'h5
000000, 4'h3
0000000, 4'hB
00000000, 4'h7
000000001, 9'h03F
0000000010, 9'h07F
00000000100, 9'h0FF
000000002, 9'h13F
00000001, 9'h19F
000000010, 9'h0BF
0000000100, 9'h17F
00000001000, 9'h1FF
00000002, 9'h05F
000000020, 9'h1BF
0000002, 9'h01F
00000020, 9'h15F
000002, 9'h0EF
0000020, 9'h11F
00000200, 9'h0DF
00002, 8'h6F
000020, 9'h1EF
0000200, 9'h09F
00002000, 9'h1DF
001, 8'hCF
01, 8'h8F
010, 8'h2F
1, 8'h0F
10, 8'h4F
100, 8'hAF
