000, 7'h73
001, 7'h0B
002, 7'h4B
003, 8'h9B
004, 8'h5B
005, 9'h137
006, 9'h0B7
007, 10'h11F
008, 10'h31F
009, 11'h63F
00A, 11'h13F
00X, 11'h53F
01, 5'h0E
02, 5'h1E
030, 8'hDB
031, 8'h3B
032, 8'hBB
033, 9'h1B7
034, 9'h077
035, 9'h177
036, 9'h0F7
037, 10'h09F
038, 11'h33F
039, 12'h57F
03A, 12'hD7F
03X, 11'h73F
040, 8'h7B
041, 8'hFB
042, 8'h07
043, 9'h1F7
044, 9'h00F
045, 9'h10F
046, 10'h29F
047, 11'h0BF
048, 11'h4BF
049, 12'h37F
04A, 12'hB7F
04X, 11'h2BF
05, 6'h1D
06, 6'h3D
07, 7'h13
08, 7'h53
09, 9'h0E7
0A, 9'h1E7
0X, 8'h2B
10, 5'h01
11, 5'h11
12, 5'h09
130, 8'h87
131, 8'h47
132, 8'hC7
133, 9'h08F
134, 9'h18F
135, 10'h19F
136, 10'h39F
137, 11'h6BF
138, 11'h1BF
139, 12'h77F
13A, 12'hF7F
13X, 12'h0FF
14, 6'h03
150, 9'h04F
151, 9'h14F
152, 9'h0CF
153, 10'h05F
154, 10'h25F
155, 10'h15F
156, 11'h5BF
157, 12'h8FF
158, 12'h4FF
159, 13'h03FF
15A, 13'h13FF
15X, 12'hCFF
160, 9'h1CF
161, 9'h02F
162, 9'h12F
163, 10'h35F
164, 10'h0DF
165, 11'h3BF
166, 11'h7BF
167, 12'h2FF
168, 12'hAFF
169, 13'h0BFF
16A, 13'h1BFF
16X, 13'h07FF
17, 8'hAB
18, 8'h6B
19, 9'h017
1A, 9'h117
1X, 9'h097
20, 5'h19
21, 5'h05
22, 5'h15
230, 8'h27
231, 8'hA7
232, 8'h67
233, 9'h0AF
234, 9'h1AF
235, 10'h2DF
236, 10'h1DF
237, 11'h07F
238, 11'h47F
239, 12'h6FF
23A, 12'hEFF
23X, 12'h1FF
24, 6'h23
250, 9'h06F
251, 9'h16F
252, 9'h0EF
253, 10'h3DF
254, 10'h03F
255, 11'h27F
256, 11'h67F
257, 12'h9FF
258, 12'h5FF
259, 13'h17FF
25A, 13'h0FFF
25X, 13'h1FFF
26, 7'h33
27, 8'hEB
28, 8'h1B
29, 9'h197
2A, 9'h057
2X, 9'h157
3, 3'h0
4, 3'h4
5, 4'h2
6, 4'hA
7, 5'h06
8, 5'h16
9, 6'h0D
A0, 9'h0D7
A1, 9'h1D7
A2, 9'h037
A3, 10'h1EF
A4, 10'h3EF
A5, 10'h01F
A6, 10'h21F
A7, 11'h23F
A8, 12'h17F
A9, 13'h0DFF
AA, 13'h1DFF
AX, 12'h97F
X, 6'h2D
