00, 5'h19
010, 8'h57
011, 8'hD7
012, 8'h37
013, 9'h0AF
014, 9'h1AF
015, 9'h06F
016, 9'h16F
017, 10'h03F
018, 10'h23F
019, 11'h17F
01A, 11'h57F
01B, 12'h1FF
01C, 12'h9FF
01X, 11'h37F
020, 8'hB7
021, 8'h77
022, 8'hF7
023, 9'h0EF
024, 9'h1EF
025, 9'h01F
026, 9'h11F
027, 10'h13F
028, 10'h33F
029, 11'h77F
02A, 11'h0FF
02B, 12'h5FF
02C, 12'hDFF
02X, 11'h4FF
03, 6'h15
04, 6'h35
05, 6'h0D
06, 6'h2D
07, 7'h13
08, 7'h53
09, 8'h3B
0A, 8'hBB
0B, 9'h00F
0C, 9'h10F
0X, 8'h7B
1, 3'h0
2, 3'h4
3, 3'h2
40, 6'h1D
41, 6'h3D
42, 6'h03
43, 6'h23
440, 9'h09F
441, 9'h19F
442, 9'h05F
443, 10'h0BF
444, 10'h2BF
445, 10'h1BF
446, 10'h3BF
447, 11'h2FF
448, 11'h6FF
449, 12'h3FF
44A, 12'hBFF
44B, 13'h0FFF
44C, 13'h1FFF
44X, 12'h7FF
45, 7'h33
46, 7'h73
47, 8'hFB
48, 8'h07
49, 9'h08F
4A, 9'h18F
4B, 9'h04F
4C, 9'h14F
4X, 8'h87
5, 4'h6
6, 4'hE
70, 7'h0B
71, 7'h4B
72, 7'h2B
73, 8'h47
74, 8'hC7
75, 8'h27
76, 8'hA7
77, 9'h0CF
78, 9'h1CF
79, 10'h15F
7A, 10'h35F
7B, 11'h07F
7C, 11'h47F
7X, 10'h0DF
80, 7'h6B
81, 7'h1B
82, 7'h5B
83, 8'h67
84, 8'hE7
85, 8'h17
86, 8'h97
87, 9'h02F
88, 9'h12F
89, 10'h2DF
8A, 10'h1DF
8B, 11'h27F
8C, 11'h67F
8X, 10'h3DF
9, 5'h01
A, 5'h11
B, 6'h05
C, 6'h25
X, 5'h09
