0, 1'h0
1, 2'h1
2000, 5'h0B
200100, 9'h01F
200101, 10'h1DF
200102, 10'h3DF
200103, 13'h05FF
200104, 13'h15FF
20010X, 14'h1FFF
20011, 9'h04F
20012, 9'h14F
20013, 12'hD7F
20014, 12'h37F
2001X, 14'h07FF
20020, 8'h57
20021, 9'h0CF
20022, 9'h1CF
20023, 12'hB7F
20024, 12'h77F
2002X, 14'h27FF
2003, 9'h177
2004, 10'h2DF
200X, 11'h4BF
201000, 9'h11F
201001, 10'h03F
201002, 10'h23F
201003, 13'h0DFF
201004, 13'h1DFF
20100X, 15'h3FFF
20101, 9'h02F
20102, 9'h12F
20103, 12'hF7F
20104, 12'h0FF
2010X, 14'h17FF
2011, 8'hFB
2012, 8'h07
2013, 11'h2BF
2014, 11'h6BF
201X, 13'h01FF
20200, 8'hD7
20201, 9'h0AF
20202, 9'h1AF
20203, 12'h8FF
20204, 12'h4FF
2020X, 14'h37FF
2021, 8'h87
2022, 8'h47
2023, 11'h1BF
2024, 11'h5BF
202X, 13'h11FF
203, 8'h7B
204, 9'h1B7
20X, 10'h19F
210000, 9'h09F
210001, 10'h13F
210002, 10'h33F
210003, 13'h03FF
210004, 13'h13FF
21000X, 15'h7FFF
21001, 9'h06F
21002, 9'h16F
21003, 12'hCFF
21004, 12'h2FF
2100X, 14'h0FFF
2101, 8'hC7
2102, 8'h27
2103, 11'h3BF
2104, 11'h7BF
210X, 13'h09FF
2110, 8'hA7
2111, 9'h0F7
2112, 9'h1F7
2113, 12'hA7F
2114, 12'h67F
211X, 14'h2BFF
2120, 8'h67
2121, 9'h00F
2122, 9'h10F
2123, 12'hE7F
2124, 12'h17F
212X, 14'h1BFF
213, 10'h39F
214, 10'h05F
21X, 11'h0BF
22000, 8'h37
22001, 9'h0EF
22002, 9'h1EF
22003, 12'hAFF
22004, 12'h6FF
2200X, 14'h2FFF
2201, 8'hE7
2202, 8'h17
2203, 11'h07F
2204, 11'h47F
220X, 13'h19FF
2210, 8'h97
2211, 9'h08F
2212, 9'h18F
2213, 12'h97F
2214, 12'h57F
221X, 14'h3BFF
222, 7'h3B
223, 10'h25F
224, 10'h15F
22X, 12'h27F
23, 7'h5B
240, 9'h077
241, 10'h35F
242, 10'h0DF
243, 13'h0EFF
244, 13'h1EFF
24X, 14'h0BFF
2X, 9'h0B7
3, 5'h03
4, 5'h13
X, 7'h1B
