<root>, 4'h0
0, 4'h8
00, 4'h4
000, 4'hC
0000, 4'h2
00000, 4'hA
000000, 4'h6
0000000, 4'hE
00000000, 4'h1
000000000, 4'h9
0000000000, 4'h5
00000000000, 4'hD
000000000000, 4'h3
0000000000000, 4'hB
00000000000000, 4'h7
000000000000000, 5'h0F
00000000000002, 10'h1FF
0000000000002, 10'h0FF
000000000002, 10'h37F
0000000000020, 10'h2FF
00000000000200, 10'h3FF
0000001, 10'h07F
000001, 10'h33F
0000010, 10'h27F
00001, 10'h3DF
000010, 10'h0BF
0001, 9'h19F
00010, 10'h03F
000100, 10'h2BF
001, 9'h11F
0010, 9'h05F
00100, 10'h23F
001000, 10'h1BF
01, 9'h01F
010, 9'h09F
0100, 9'h15F
01000, 10'h13F
010000, 10'h3BF
0100000, 10'h17F
02, 10'h2DF
2, 10'h0DF
20, 10'h1DF
