00000000000, 2'h0
000000000010, 6'h3B
000000000011, 10'h1BF
000000000012, 10'h3BF
00000000001X, 17'h17FFF
00000000002, 6'h1B
0000000000X, 12'hBFF
000000000100, 6'h07
000000000101, 10'h07F
000000000102, 10'h27F
00000000010X, 17'h0FFFF
00000000011, 10'h33F
00000000012, 10'h0BF
0000000001X, 16'h3FFF
0000000002, 6'h13
000000000X, 12'h3FF
000000001000, 6'h27
000000001001, 10'h17F
000000001002, 10'h37F
00000000100X, 17'h1FFFF
00000000101, 9'h19F
00000000102, 10'h2BF
0000000010X, 16'hBFFF
0000000011, 9'h09F
0000000012, 10'h0DF
000000001X, 16'h9FFF
0000000020, 6'h33
0000000021, 10'h2DF
0000000022, 10'h1DF
000000002X, 17'h07FFF
00000000X, 12'hDFF
00000001, 5'h03
0000000200, 6'h0B
0000000201, 10'h3DF
0000000202, 10'h03F
000000020X, 16'h5FFF
000000021, 9'h01F
000000022, 10'h15F
00000002X, 16'hEFFF
0000000X, 12'h5FF
0000001, 5'h1D
0000002000, 6'h2B
0000002001, 10'h23F
0000002002, 10'h13F
000000200X, 16'hDFFF
000000201, 9'h11F
000000202, 10'h35F
00000020X, 16'h1FFF
00000021, 9'h1EF
00000022, 10'h25F
0000002X, 16'h6FFF
000000X, 12'h9FF
000001, 5'h09
000002, 5'h19
00000X, 12'h1FF
000010, 5'h05
000011, 9'h12F
000012, 9'h0AF
00001X, 15'h77FF
00002, 5'h0E
0000X, 11'h6FF
000100, 5'h15
000101, 9'h1AF
000102, 9'h06F
00010X, 15'h0FFF
00011, 8'hB7
00012, 9'h10F
0001X, 15'h17FF
00020, 5'h1E
00021, 9'h08F
00022, 9'h18F
0002X, 16'h2FFF
000X, 11'h2FF
001000, 5'h0D
001001, 9'h16F
001002, 9'h0EF
00100X, 15'h4FFF
00101, 8'h77
00102, 9'h04F
0010X, 15'h57FF
0011, 8'h97
0012, 8'h57
001X, 15'h47FF
00200, 5'h01
00201, 9'h14F
00202, 9'h0CF
0020X, 16'hAFFF
0021, 8'hD7
0022, 9'h1F7
002X, 15'h27FF
00X, 11'h4FF
01, 4'h6
02000, 5'h11
02001, 9'h1CF
02002, 9'h02F
0200X, 15'h37FF
0201, 8'h37
0202, 9'h00F
020X, 15'h67FF
021, 8'h17
022, 9'h0F7
02X, 15'h07FF
0X, 11'h0FF
1, 4'h2
2, 4'hA
X, 10'h05F
