0000000000, 3'h0
0000000001, 6'h0B
000000000200, 7'h37
000000000201, 10'h27F
000000000202, 10'h17F
00000000020X, 15'h3FFF
00000000021, 10'h3BF
00000000022, 10'h07F
0000000002X, 15'h5FFF
000000000X, 12'hDFF
000000001, 6'h03
000000002, 6'h23
00000000X, 11'h6FF
0000000100, 6'h2B
0000000101, 9'h0DF
0000000102, 9'h1DF
000000010X, 15'h1FFF
000000011, 9'h01F
000000012, 9'h11F
00000001X, 14'h37FF
000000020, 6'h13
000000021, 9'h09F
000000022, 9'h19F
00000002X, 15'h6FFF
0000000X, 11'h2FF
0000001, 5'h1D
000000200, 6'h33
000000201, 9'h05F
000000202, 9'h15F
00000020X, 14'h0FFF
00000021, 9'h0EF
00000022, 9'h1EF
0000002X, 14'h17FF
000000X, 11'h4FF
000001, 5'h09
000002, 5'h19
00000X, 11'h37F
000010, 5'h05
000011, 8'hF7
000012, 8'h0F
00001X, 13'h1BFF
000020, 5'h15
000021, 8'h8F
000022, 8'h4F
00002X, 14'h07FF
0000X, 10'h1BF
0001, 4'h1
000200, 5'h0D
000201, 8'hCF
000202, 8'h2F
00020X, 14'h27FF
000210, 8'hAF
000211, 11'h77F
000212, 11'h0FF
00021X, 16'hFFFF
00022, 8'h77
0002X, 13'h0BFF
000X, 10'h2BF
001, 4'hC
002, 4'h2
00X, 10'h03F
010, 4'hA
011, 7'h3B
012, 7'h7B
01X, 13'h03FF
02, 4'h4
0X, 9'h16F
100, 4'h6
101, 7'h07
102, 7'h47
10X, 12'h5FF
110, 7'h27
111, 10'h23F
112, 10'h13F
11X, 15'h2FFF
12, 7'h1B
1X, 12'h1FF
200, 4'hE
201, 7'h67
202, 7'h17
20X, 13'h13FF
210, 7'h57
211, 10'h33F
212, 10'h0BF
21X, 16'h7FFF
22, 7'h5B
2X, 12'h9FF
X, 9'h06F
