000, 5'h19
0010, 7'h4B
0011, 8'h17
0012, 8'h97
0013, 9'h0EF
0014, 9'h1EF
0015, 11'h37F
0016, 11'h77F
001X, 12'h9FF
0020, 7'h2B
0021, 8'h57
0022, 8'hD7
0023, 9'h01F
0024, 9'h11F
0025, 11'h0FF
0026, 11'h4FF
002X, 12'h5FF
003, 7'h43
004, 7'h23
005, 9'h18F
006, 9'h04F
00X, 9'h14F
01, 4'h2
02, 4'hA
03, 5'h1E
04, 5'h01
05, 7'h2D
06, 7'h6D
0X, 8'h6B
1, 2'h0
20, 4'h6
210, 6'h35
2110, 8'h37
2111, 9'h09F
2112, 9'h19F
2113, 10'h23F
2114, 10'h13F
2115, 12'hDFF
2116, 12'h3FF
211X, 13'h0FFF
212, 7'h63
213, 8'h3B
214, 8'hBB
215, 10'h2DF
216, 10'h1DF
21X, 11'h1BF
220, 6'h0D
2210, 8'hB7
2211, 9'h05F
2212, 9'h15F
2213, 10'h33F
2214, 10'h0BF
2215, 12'hBFF
2216, 12'h7FF
221X, 13'h1FFF
222, 7'h13
223, 8'h7B
224, 8'hFB
225, 10'h3DF
226, 10'h03F
22X, 11'h5BF
230, 7'h53
231, 8'h07
232, 8'h87
233, 9'h0CF
234, 9'h1CF
235, 11'h3BF
236, 11'h7BF
23X, 12'hAFF
24, 6'h25
25, 8'hEB
26, 8'h1B
2X, 8'h9B
30, 5'h11
310, 7'h33
311, 8'h47
312, 8'hC7
313, 9'h02F
314, 9'h12F
315, 11'h07F
316, 11'h47F
31X, 12'h6FF
320, 7'h73
321, 8'h27
322, 8'hA7
323, 9'h0AF
324, 9'h1AF
325, 11'h27F
326, 11'h67F
32X, 12'hEFF
33, 7'h1D
34, 7'h5D
35, 9'h077
36, 9'h177
3X, 9'h0F7
40, 5'h09
410, 7'h0B
411, 8'h67
412, 8'hE7
413, 9'h06F
414, 9'h16F
415, 11'h17F
416, 11'h57F
41X, 12'h1FF
42, 6'h15
43, 7'h3D
44, 7'h7D
45, 9'h1F7
46, 9'h00F
4X, 10'h0DF
5, 5'h0E
60, 7'h03
61, 8'h5B
62, 8'hDB
63, 9'h10F
64, 9'h08F
65, 11'h2BF
66, 11'h6BF
6X, 12'h2FF
X, 6'h05
