<root>, 2'h0
0, 3'h2
00, 3'h6
000, 3'h1
0000, 4'h5
00000, 4'hD
000000, 5'h03
0000000, 5'h13
00000000, 5'h0B
000000000, 5'h1B
0000000002, 9'h17F
00000000020, 9'h0FF
00000001, 8'h5F
000000010, 8'hBF
00000002, 8'hDF
0000002, 8'h9F
00000020, 8'h3F
00001, 7'h2F
00002, 8'h1F
0002, 7'h4F
00020, 7'h6F
00021, 10'h3FF
01, 6'h17
1, 6'h07
10, 6'h37
11, 9'h07F
2, 6'h27
20, 7'h0F
21, 10'h1FF
