0000, 3'h2
000100, 6'h13
000101, 8'h4F
000102, 8'hCF
000103, 12'h6FF
000104, 12'hEFF
00010X, 14'h2FFF
00011, 7'h3B
00012, 7'h7B
00013, 11'h47F
00014, 11'h27F
0001X, 13'h03FF
000200, 6'h33
000201, 8'h2F
000202, 8'hAF
000203, 12'h1FF
000204, 12'h9FF
00020X, 14'h1FFF
00021, 7'h07
00022, 7'h47
00023, 11'h67F
00024, 12'hAFF
0002X, 13'h13FF
0003, 9'h05F
0004, 9'h15F
000X, 11'h7BF
00100, 5'h15
00101, 7'h27
00102, 7'h67
00103, 11'h17F
00104, 11'h57F
0010X, 13'h0BFF
0011, 6'h1D
0012, 6'h3D
0013, 10'h2BF
0014, 11'h07F
001X, 13'h1DFF
002, 4'h6
003, 8'h57
004, 8'hD7
00X, 10'h03F
01, 3'h0
020, 4'hE
0210, 6'h03
0211, 8'h37
0212, 8'hB7
0213, 12'hF7F
0214, 12'h0FF
021X, 14'h17FF
022, 6'h0D
023, 10'h23F
024, 10'h13F
02X, 12'h37F
03, 7'h4B
04, 7'h2B
0X, 9'h16F
10, 3'h4
1100, 6'h23
1101, 8'h77
1102, 8'hF7
1103, 12'h8FF
1104, 12'h4FF
110X, 14'h37FF
111, 7'h1B
112, 7'h5B
113, 11'h3BF
114, 12'hB7F
11X, 13'h0DFF
12, 5'h09
13, 9'h0EF
14, 9'h1EF
1X, 11'h1BF
200, 4'h1
20100, 7'h17
20101, 9'h0DF
20102, 9'h1DF
20103, 13'h1BFF
20104, 13'h07FF
2010X, 15'h7FFF
2011, 8'h0F
2012, 8'h8F
2013, 12'hCFF
2014, 12'h2FF
201X, 14'h0FFF
202, 6'h2D
203, 10'h33F
204, 10'h0BF
20X, 12'h77F
21, 5'h19
22, 5'h05
23, 9'h01F
24, 9'h11F
2X, 11'h5BF
30, 7'h6B
31, 9'h09F
32, 9'h19F
33, 13'h05FF
34, 13'h15FF
3X, 15'h3FFF
4, 7'h0B
X, 9'h06F
