000000000, 1'h0
000000001000, 6'h37
000000001001, 10'h1BF
000000001002, 11'h6FF
00000000100X, 18'h1FFFF
00000000101, 10'h0BF
00000000102, 11'h4FF
0000000010X, 18'h0FFFF
0000000011, 10'h1DF
0000000012, 10'h3DF
000000001X, 18'h07FFF
0000000020, 6'h27
0000000021, 10'h03F
0000000022, 11'h77F
000000002X, 18'h27FFF
00000000X, 13'h0FFF
000000010000, 6'h0F
000000010001, 10'h3BF
000000010002, 11'h1FF
00000001000X, 18'h3FFFF
00000001001, 10'h2BF
00000001002, 11'h2FF
0000000100X, 18'h2FFFF
0000000101, 10'h23F
0000000102, 10'h13F
000000010X, 18'h17FFF
000000011, 10'h05F
000000012, 10'h25F
00000001X, 18'h33FFF
0000000200, 6'h17
0000000201, 10'h33F
0000000202, 11'h0FF
000000020X, 18'h37FFF
000000021, 10'h15F
000000022, 11'h67F
00000002X, 18'h0BFFF
0000000X, 13'h17FF
0000001, 5'h0B
000000200, 6'h1B
000000201, 10'h35F
000000202, 11'h17F
00000020X, 18'h2BFFF
00000021, 10'h29F
00000022, 11'h07F
0000002X, 18'h03FFF
000000X, 13'h07FF
000001, 5'h13
000002000, 6'h3B
000002001, 10'h0DF
000002002, 11'h57F
00000200X, 18'h1BFFF
00000201, 10'h19F
00000202, 11'h47F
0000020X, 18'h23FFF
0000021, 10'h21F
0000022, 10'h11F
000002X, 18'h1DFFF
00000X, 13'h1BFF
00001, 5'h03
000020000, 6'h07
000020001, 10'h2DF
000020002, 11'h37F
00002000X, 18'h3BFFF
00002001, 10'h39F
00002002, 11'h27F
0000200X, 18'h13FFF
0000201, 10'h31F
0000202, 10'h09F
000020X, 18'h3DFFF
000021, 10'h3EF
000022, 10'h01F
00002X, 17'h0DFFF
0000X, 13'h0BFF
0001, 5'h19
0002, 5'h05
000X, 13'h13FF
0010, 5'h15
0011, 10'h26F
0012, 10'h16F
001X, 17'h19FFF
002, 5'h09
00X, 13'h03FF
0100, 5'h0D
0101, 10'h36F
0102, 10'h0EF
010X, 17'h05FFF
011, 9'h12F
012, 10'h3AF
01X, 17'h11FFF
02, 5'h11
0X, 12'hDFF
1000, 5'h1D
1001, 10'h2EF
1002, 10'h1EF
100X, 17'h15FFF
101, 9'h0AF
102, 10'h06F
10X, 17'h09FFF
11, 9'h02F
12, 10'h1AF
1X, 17'h01FFF
2, 5'h01
X, 12'h5FF
